"","Language","World.Region","Language.Family","Latitude","Longitude"
"696","Mixtec","Central America","Otomanguean",40.64722926,-74.00787788
"697","Mohawk","Northern America","Iroquoian",40.686598,-73.986416
"698","Mohican","Northern America","Algic",41.690486,-73.511223
"699","Mohican","Northern America","Algic",42.03204475,-73.92900474
"700","Mojave","Northern America","Cochimi-Yuman",40.825209,-73.945185
"701","Moldovan","Eastern Europe","Indo-European",40.612929,-73.962739
"702","Moldovan","Eastern Europe","Indo-European",40.744818,-73.923978
"703","Mon","Southeastern Asia","Austroasiatic",40.679819,-73.968752
"704","Mongo","Middle Africa","Atlantic-Congo",40.803424,-73.945632
"705","Monguor","Eastern Asia","Mongolic",40.749106,-73.888125
"706","Montaukett","Northern America","Algic",41.03121,-71.95373
"707","Montenegrin","Southern Europe","Indo-European",40.767877,-73.934027
"708","Montenegrin","Southern Europe","Indo-European",40.704507,-73.901745
"709","Montserrat Creole","Caribbean","Indo-European",40.8173733,-73.94335982
"710","Moroccan Arabic","Northern Africa","Afro-Asiatic",40.768135,-73.910894
"711","Moroccan Arabic","Northern Africa","Afro-Asiatic",40.634343,-74.020482
"712","Moroccan Arabic","Northern Africa","Afro-Asiatic",40.85596348,-73.85977608
"713","Moroccan Judeo-Arabic","Northern Africa","Afro-Asiatic",40.722048,-73.837787
"714","Moroccan Judeo-Arabic","Northern Africa","Afro-Asiatic",40.605599,-73.965712
"715","Moroccan Judeo-Arabic","Northern Africa","Afro-Asiatic",40.77056971,-73.95549249
"716","Mossi","Western Africa","Atlantic-Congo",40.682285,-73.938041
"717","Mossi","Western Africa","Atlantic-Congo",40.814306,-73.944106
"718","Mossi","Western Africa","Atlantic-Congo",40.816968,-73.921716
"719","Mossi","Western Africa","Atlantic-Congo",40.721391,-74.200541
"720","Motu","Melanesia","Austronesian",40.66423,-73.70853
"721","Mugu","Southern Asia","Sino-Tibetan",40.748919,-73.891109
"722","Munda","Southern Asia","Austroasiatic",40.705068,-73.801288
"723","Palembang","Southeastern Asia","Austronesian",40.73908,-73.886131
"724","Myene","Middle Africa","Atlantic-Congo",40.633657,-73.973231
"725","Nachhiring","Southern Asia","Sino-Tibetan",40.752235,-73.894375
"726","Nahuatl","Central America","Uto-Aztecan",40.794707,-73.933952
"727","Nahuatl","Central America","Uto-Aztecan",40.625162,-74.136653
"728","Nahuatl","Central America","Uto-Aztecan",40.736977,-73.866046
"729","Nahuatl","Central America","Uto-Aztecan",40.814316,-73.91988
"730","Nahuatl","Central America","Uto-Aztecan",41.30877168,-72.89932894
"731","Nahuatl","Central America","Uto-Aztecan",40.641951,-74.014288
"732","Nar-Phu","Southern Asia","Sino-Tibetan",40.749967,-73.912624
"733","Naso","Central America","Chibchan",40.626274,-73.930097
"734","Native American English","Northern America","Indo-European",40.71641566,-73.9929287
"735","Nauruan","Micronesia","Austronesian",40.750081,-73.972288
"736","Navajo","Northern America","Athabaskan-Eyak-Tlingit",40.716649,-73.993415
"737","Ndebele","Southern Africa","Atlantic-Congo",40.682136,-73.925838
"738","Ndebele","Southern Africa","Atlantic-Congo",40.760408,-73.970252
"739","Neapolitan","Southern Europe","Indo-European",40.795147,-73.933783
"740","Neapolitan","Southern Europe","Indo-European",40.719126,-73.997061
"741","Neapolitan","Southern Europe","Indo-European",40.84914966,-73.85492159
"742","Neapolitan","Southern Europe","Indo-European",40.715745,-73.95267
"743","Neo-Mandaic","Southern Asia","Afro-Asiatic",40.739388,-73.790656
"744","Nepali","Southern Asia","Indo-European",40.63476708,-73.96480007
"745","Nepali","Southern Asia","Indo-European",40.747477,-73.888919
"746","Nepali","Southern Asia","Indo-European",40.868601,-73.902111
"747","Nepali","Southern Asia","Indo-European",40.699455,-73.909886
"748","New Zealand English","Australia and New Zealand","Indo-European",40.723919,-73.993781
"749","Newari","Southern Asia","Sino-Tibetan",40.748329,-73.891358
"750","Newfoundland English","Northern America","Indo-European",40.670937,-73.980485
"751","Nigerian English","Western Africa","Indo-European",40.661163,-73.878252
"752","Noakhailla","Southern Asia","Indo-European",40.642774,-73.978586
"753","Nones","Southern Europe","Indo-European",40.749123,-73.999578
"754","Nones","Southern Europe","Indo-European",40.701967,-73.909596
"755","North Levantine Arabic","Western Asia","Afro-Asiatic",40.767559,-73.912012
"756","North Levantine Arabic","Western Asia","Afro-Asiatic",40.63236251,-74.02127584
"757","North Levantine Arabic","Western Asia","Afro-Asiatic",40.69011235,-73.99264034
"758","North Levantine Arabic","Western Asia","Afro-Asiatic",40.708399,-74.014178
"759","North Levantine Arabic","Western Asia","Afro-Asiatic",40.934797,-73.894912
"760","Northeastern Mandarin Chinese","Eastern Asia","Sino-Tibetan",40.762554,-73.831411
"761","Northern Fujianese","Eastern Asia","Sino-Tibetan",40.610894,-73.990412
"762","Northern Fujianese","Eastern Asia","Sino-Tibetan",40.71492,-73.990687
"763","Northern Sotho","Southern Africa","Atlantic-Congo",40.816379,-73.937123
"764","Northern Thai","Southeastern Asia","Tai-Kadai",40.740219,-73.887606
"765","Norwegian","Northern Europe","Indo-European",40.628443,-74.023236
"766","Norwegian","Northern Europe","Indo-European",40.70698905,-74.01252394
"767","Nubian","Northern Africa","Nubian",40.641271,-73.978896
"768","Nubri","Southern Asia","Sino-Tibetan",40.740202,-73.879554
"769","Nuer","Eastern Africa","Nilotic",40.751174,-73.96927
"770","Occitan","Southern Europe","Indo-European",40.77736226,-73.95770167
"771","Odia","Southern Asia","Indo-European",40.7534,-73.817482
"772","Ojibwe","Northern America","Algic",40.668522,-73.95649
"773","Ojibwe","Northern America","Algic",40.71106,-73.942108
"774","Okinawan","Eastern Asia","Japonic",40.761225,-73.731879
"775","Oromo","Eastern Africa","Afro-Asiatic",40.81136,-73.942917
"776","Oshiwambo","Middle Africa","Atlantic-Congo",40.747838,-73.978871
"777","Ossetian","Eastern Europe","Indo-European",40.579576,-73.963143
"778","Otomi","Central America","Otomanguean",40.741408,-73.858847
"779","Otomi","Central America","Otomanguean",40.814055,-73.915308
"780","P'urhépecha","Central America","Tarascan",40.792098,-73.939578
"781","Pa'O","Southeastern Asia","Sino-Tibetan",40.70582964,-73.87011545
"782","Pakistani English","Southern Asia","Indo-European",40.63245567,-73.96590723
"783","Pakistani English","Southern Asia","Indo-European",40.74971646,-73.8939521
"784","Palatine German","Western Europe","Indo-European",40.688855,-74.019092
"785","Palauan","Micronesia","Austronesian",40.752674,-73.966658
"786","Pali","Southern Asia","Indo-European",40.63614,-74.143197
"787","Pali","Southern Asia","Indo-European",40.727853,-73.751883
"788","Pampangan","Southeastern Asia","Austronesian",40.746258,-73.896194
"789","Pana","Western Africa","Atlantic-Congo",40.835925,-73.857332
"790","Panamanian English","Central America","Indo-European",40.64731688,-73.95580343
"791","Panamanian Spanish","Central America","Indo-European",40.64797421,-73.95542255
"792","Pangasinan","Southeastern Asia","Austronesian",40.731232,-73.985815
"793","Pangasinan","Southeastern Asia","Austronesian",40.74415,-73.902151
"794","Papantla Totonac","Central America","Totonacan",40.637978,-74.133252
"795","Papiamento","Caribbean","Indo-European",40.63904697,-73.95416108
"796","Pashto","Southern Asia","Indo-European",40.726405,-73.810443
"797","Pashto","Southern Asia","Indo-European",40.63236908,-73.96733112
"798","Persian","Southern Asia","Indo-European",40.711015,-74.008764
"799","Persian","Southern Asia","Indo-European",40.80072,-73.72801
"800","Persian","Southern Asia","Indo-European",40.701187,-73.814804
"801","Persian","Southern Asia","Indo-European",40.613706,-73.969003
"802","Peruvian Quechua","South America","Quechuan",40.746069,-73.897655
"803","Philippine English","Southeastern Asia","Indo-European",40.7295349,-73.98113584
"804","Philippine English","Southeastern Asia","Indo-European",40.745648,-73.896028
"805","Piedmontese","Southern Europe","Indo-European",40.730354,-74.002786
"806","Pijin","Melanesia","Indo-European",40.7509,-73.971744
"807","Polish","Eastern Europe","Indo-European",40.726749,-73.984901
"808","Polish","Eastern Europe","Indo-European",40.729501,-73.949517
"809","Polish","Eastern Europe","Indo-European",40.62887008,-74.24255226
"810","Polish","Eastern Europe","Indo-European",40.72445,-73.903433
"811","Polish","Eastern Europe","Indo-European",40.92051589,-72.66891614
"812","Polish","Eastern Europe","Indo-European",40.660938,-73.998529
"813","Pontic Greek","Southern Europe","Indo-European",40.767115,-73.883709
"814","Pontic Greek","Southern Europe","Indo-European",41.117337,-73.412977
"815","Poqomchi'","Central America","Mayan",40.9361,-74.13191
"816","Portuguese","Southern Europe","Indo-European",40.68009,-74.001217
"817","Portuguese","Southern Europe","Indo-European",40.70469235,-74.01090212
"818","Portuguese","Southern Europe","Indo-European",40.696955,-73.803831
"819","Portuguese","Southern Europe","Indo-European",40.73166091,-74.16293247
"820","Pothwari","Southern Asia","Indo-European",40.63235707,-73.96705032
"821","Puerto Rican Spanish","Caribbean","Indo-European",41.18671462,-73.19418317
"822","Puerto Rican Spanish","Caribbean","Indo-European",40.801556,-73.936445
"823","Puerto Rican Spanish","Caribbean","Indo-European",40.716075,-73.984655
"824","Puerto Rican Spanish","Caribbean","Indo-European",40.812335,-73.911421
"825","Puerto Rican Spanish","Caribbean","Indo-European",40.86220143,-74.11604595
"826","Puerto Rican Spanish","Caribbean","Indo-European",40.69375654,-73.90065749
"827","Puerto Rican Spanish","Caribbean","Indo-European",40.712642,-73.961534
"828","Pugliese (Barese)","Southern Europe","Indo-European",40.718155,-73.997684
"829","Pugliese (Bitettese)","Southern Europe","Indo-European",40.61786962,-73.94165669
"830","Pugliese (Casamassimese)","Southern Europe","Indo-European",40.703203,-74.095082
"831","Pugliese (Conversanese)","Southern Europe","Indo-European",40.78522443,-73.81661627
"832","Pugliese (Garganico)","Southern Europe","Indo-European",40.856658,-73.886523
"833","Pugliese (Molese)","Southern Europe","Indo-European",40.678017,-73.997837
"834","Pugliese (Molese)","Southern Europe","Indo-European",40.561182,-74.104524
"835","Pugliese (Molfettese)","Southern Europe","Indo-European",40.742335,-74.036384
"836","Punjabi","Southern Asia","Indo-European",40.726024,-73.725404
"837","Punjabi","Southern Asia","Indo-European",40.72283517,-73.9864742
"838","Punjabi","Southern Asia","Indo-European",40.73696801,-74.06989929
