"","X","Language","World.Region","Language.Family","Latitude","Longitude","class"
"207",377,"Hasidic Yiddish","Eastern Europe","Indo-European",40.634067,-73.990777,"Europe"
"208",378,"Hasidic Yiddish","Eastern Europe","Indo-European",40.600409,-73.739648,"Europe"
"209",379,"Hasidic Yiddish","Eastern Europe","Indo-European",41.34057,-74.16988,"Europe"
"210",380,"Hasidic Yiddish","Eastern Europe","Indo-European",40.704775,-73.961838,"Europe"
"211",389,"Hazara","Southern Asia","Indo-European",40.728128,-73.814323,"Asia"
"212",390,"Hebrew","Western Asia","Afro-Asiatic",40.670815,-73.935576,"Asia"
"213",391,"Hebrew","Western Asia","Afro-Asiatic",40.72702851,-73.98383836,"Asia"
"214",392,"Hebrew","Western Asia","Afro-Asiatic",40.93120132,-74.12770896,"Asia"
"215",393,"Hebrew","Western Asia","Afro-Asiatic",40.73000439,-73.82251925,"Asia"
"216",394,"Hebrew","Western Asia","Afro-Asiatic",40.620577,-73.955709,"Asia"
"217",395,"Hebrew","Western Asia","Afro-Asiatic",40.792001,-73.977165,"Asia"
