"","X","Language","World.Region","Language.Family","Latitude","Longitude","class"
"701",1154,"Chechen","Eastern Europe","Nakh-Daghestanian",40.87584048,-74.13939945,"Europe"
"702",1155,"Arbëresh","Southern Europe","Indo-European",40.81497009,-73.9134377,"Europe"
"703",1156,"Sri Lankan Malay","Southern Asia","Austronesian",40.63389855,-74.08565592,"Asia"
"704",1157,"Kandhari","Southern Asia","Indo-European",40.76996803,-73.52473145,"Asia"
"705",1158,"Pashto","Southern Asia","Indo-European",40.7584633,-73.51158481,"Asia"
"706",1159,"Kabli","Southern Asia","Indo-European",40.76986578,-73.52165673,"Asia"
"707",1161,"Slovak","Eastern Europe","Indo-European",40.77313271,-73.91610347,"Europe"
"708",1163,"Kadazan Dusun","Southeastern Asia","Austronesian",40.80278362,-73.9642339,"Asia"
"709",1164,"Tanchangya","Southern Asia","Indo-European",40.75577113,-73.89203393,"Asia"
"710",1166,"Cypriot Turkish","Southern Europe","Turkic",40.8466281,-73.86115844,"Europe"
"711",1168,"Tagalog","Southeastern Asia","Austronesian",40.69961289,-73.98058551,"Asia"
"712",1169,"Memoni","Southern Asia","Indo-European",40.73930222,-73.69977384,"Asia"
"713",1170,"Kodava","Southern Asia","Dravidian",40.516197,-74.356567,"Asia"
"714",1171,"Sangtam","Southern Asia","Sino-Tibetan",40.5017604,-74.39808902,"Asia"
"715",1172,"Ao","Southern Asia","Sino-Tibetan",40.51767823,-74.40786063,"Asia"
"716",1173,"Konyak","Southern Asia","Sino-Tibetan",40.6965817,-73.98331121,"Asia"
"717",1174,"Sema","Southern Asia","Sino-Tibetan",40.63372132,-73.9649681,"Asia"
"718",1175,"Pochury","Southern Asia","Sino-Tibetan",40.59299394,-74.62656605,"Asia"
"719",1176,"Changki","Southern Asia","Sino-Tibetan",40.7277572,-73.98210737,"Asia"
"720",1177,"Tangkhul","Southern Asia","Sino-Tibetan",40.76101637,-74.21047832,"Asia"
"721",1178,"Nagamese","Southern Asia","Indo-European",40.50179303,-74.39550337,"Asia"
"722",1179,"Pugliese (Palese)","Southern Europe","Indo-European",40.66013248,-73.83096162,"Europe"
"723",1180,"Sorani Kurdish","Western Asia","Indo-European",40.75417743,-73.97069261,"Asia"
"724",1181,"Pugliese (Grumese)","Southern Europe","Indo-European",40.83196435,-73.82579469,"Europe"
"725",1182,"North Frisian","Western Europe","Indo-European",40.6857747,-73.69790506,"Europe"
"726",1185,"Hungarian","Eastern Europe","Uralic",40.8701177,-74.11442638,"Europe"
"727",1186,"Hamgyŏng Korean (Joseonjok)","Eastern Asia","Koreanic",40.76493951,-73.82159424,"Asia"
"728",1190,"Falam Chin","Southeastern Asia","Sino-Tibetan",40.59047196,-73.97438292,"Asia"
"729",1191,"Romagnol","Southern Europe","Indo-European",40.76701301,-73.91247562,"Europe"
